x,y
-1.1480632,25.437527
-38.766644,18.793783
-4.4107327,10.766071
66.869415,6.6626024
-33.246292,-18.379566
-14.223448,12.334291
-5.456665,23.514912
-42.60232,8.398606
-18.289562,-29.647303
62.990307,5.403802
-38.05641,6.0161734
-22.354084,-17.514091
-32.96275,18.308073
-11.407556,17.299862
-27.60337,12.61129
-32.905766,-4.008111
-20.752567,-9.576378
8.343922,12.525762
67.486626,-12.231475
-23.481295,-16.03977
-5.251315,20.60562
17.561836,15.178271
4.347339,10.737086
-38.359905,-2.6859188
51.55208,-15.716922
17.098537,-14.654633
-18.365374,-28.177292
-0.58244705,-0.14422952
-9.220379,-1.023594
-33.104374,6.535155
0.5568995,-22.921051
-32.928085,18.318893
4.9412417,-20.13343
48.29646,-15.279006
-12.875377,12.683472
3.355019,0.97634804
-43.998325,11.220899
-1.1018292,27.036558
-23.684645,10.364501
20.75171,19.115717
65.622696,2.444988
-38.84652,20.525074
-43.269897,-4.620244
71.38079,2.6336563
4.464582,1.5503443
-21.989723,-21.23908
67.78072,7.6877017
-7.6180882,8.399824
60.81694,-3.8244636
-41.07129,8.589725
-15.220521,-8.909866
2.2020295,31.328064
52.373596,-15.660284
-44.28077,3.1116838
-12.721689,-1.4714088
19.253378,14.144136
0.29726237,-18.436342
-4.678104,0.6202466
-1.0067422,6.736071
9.428266,5.1293535
-12.443429,10.422966
-35.54345,-15.258445
-3.0852616,20.683754
56.40803,-9.260046
53.934563,-16.067259
53.170307,-16.037514
-35.711086,-13.40046
-27.599478,-28.839401
0.45599663,8.007771
-30.464085,17.225536
49.13519,-17.235628
12.439507,-13.71047
7.973901,-0.40214464
-22.452446,16.855167
-9.567222,15.868059
-4.8776298,21.346498
64.80466,-15.847895
2.2164516,22.986021
13.811809,21.637867
-38.39029,17.48257
3.343497,12.772524
-15.377024,-24.308977
63.122524,0.7836638
11.739727,-13.822101
60.78857,3.3774543
-0.9304394,5.248323
-1.646127,11.221682
-25.894249,-1.562836
62.76854,7.289358
-2.6180885,-20.45148
-15.94435,-6.1143446
-46.157528,-6.2228403
-12.669667,12.168837
7.2326827,1.4269761
-22.17117,3.3051605
-27.965841,4.9395523
11.139993,17.380772
1.8941784,24.74835
67.827576,5.8029118
-23.323376,-4.6385465
9.537584,-2.3199472
1.9839094,-23.8631
-7.5057793,22.1776
11.702667,-5.118902
5.8668823,-19.76514
62.92051,-3.4737391
-26.37706,-5.6129026
-47.982727,-2.6625893
-2.045912,-21.187056
62.586716,6.740261
-2.263333,18.561098
-36.016346,13.787348
12.245002,-19.206018
66.77296,-17.39154
71.66854,-0.14577812
4.8566575,11.172111
-21.99979,4.864092
-39.71282,12.657354
-24.521452,1.6850129
-15.897848,-12.4303875
-25.621529,23.881714
5.0429974,29.023737
66.075165,-5.1394477
-25.664618,-15.765995
64.59267,-4.7385993
54.43799,-2.4812803
1.1726484,-11.712152
49.98225,-15.313154
4.9569426,24.865631
13.648352,5.5264673
-24.549604,-9.625334
-24.1967,-24.362062
-22.179247,-5.8967547
-45.865826,-12.422733
-0.2768419,22.119482
9.661337,8.780507
-15.595986,7.901606
-8.995342,24.387827
-27.88068,-17.968496
-40.670147,11.408966
-24.1706,-20.338953
0.80144686,11.85148
-16.272562,1.3111283
-1.1487492,-23.775751
-28.347307,-2.2437239
56.061623,-9.820028
-39.545338,-16.507248
-15.604502,13.65812
-21.442083,14.422563
4.5126643,-2.7702782
-36.84957,18.3349
68.986465,9.075663
65.03457,-13.113436
-14.474423,17.853321
65.84037,5.3867135
-7.484188,24.702236
11.959776,-15.446584
-40.483414,-15.085224
8.48663,0.35520014
11.781518,0.1154061
-27.019249,10.952009
-33.355568,-9.536714
2.2263029,-21.733543
16.265783,-19.598776
7.107543,32.696312
11.577147,6.1973524
6.9269104,25.494612
8.031697,9.375869
62.571804,-16.853561
15.50004,8.492746
-2.9178877,-6.1707506
3.313015,19.497105
-4.475707,10.728509
-5.606523,-2.7930083
-14.967322,-9.991951
13.456618,-18.029472
-27.221853,-7.098724
-21.99466,-2.209054
-5.2389345,28.203531
-28.310766,13.167695
-3.57113,23.967224
11.7738695,-16.890484
-17.892437,20.903387
-5.695407,19.244326
-20.509354,-5.336182
-1.0384185,23.930542
-35.425407,14.56275
-17.281849,30.187725
-29.718958,11.453841
-15.990768,1.5680677
-28.001833,1.9207724
53.801613,-9.171567
5.1792774,7.3480744
51.285885,-9.6342535
-43.099724,2.160819
-24.10835,-3.8192255
-22.103405,-1.3808565
64.6462,5.1051793
-39.572975,13.27774
-21.745695,-20.99644
-44.942238,8.534948
-9.413491,25.20456
-6.7668896,17.230326
-38.74339,10.583714
-18.14417,0.44240275
11.187263,-13.122053
-11.293285,5.4504056
-27.47548,-3.5504978
-30.127687,-12.776642
3.7776008,16.452692
11.470983,13.932453
-38.24566,19.507559
-37.076847,-4.7820206
-8.923937,4.9927716
10.253428,6.4311357
10.212194,6.483249
13.231645,-16.969118
10.5127125,-13.790023
12.332062,-14.158511
4.4702234,-24.019434
-31.594963,18.958263
9.389736,26.975658
3.739224,20.467464
-33.34166,5.778164
2.2892656,30.164852
-29.143837,23.398
-6.315212,-6.1141233
1.3225386,23.460424
-12.454915,10.3001795
-2.3149683,-26.40855
-1.5352589,-27.668282
-1.6384405,32.664566
-5.971958,29.860512
-9.794589,29.63393
-25.314144,-20.579802
-10.264436,28.95462
51.09557,-16.499704
3.092006,0.33042884
62.901005,-0.03957905
9.726047,-15.284351
-11.75015,-11.087662
-12.802353,7.4010606
66.15109,-2.9434547
-3.0754778,14.110467
51.144585,-12.381865
-33.034264,-4.3037744
-27.777224,9.650227
-33.84696,7.8769236
10.03006,-0.1396518
-36.560463,-1.7795409
-25.584215,-19.7391
-13.528205,-21.297585
-36.423496,6.714585
-34.23145,-20.410534
66.83265,3.0507483
-13.8842945,14.885767
-45.484566,10.372662
-34.94423,2.9231796
-16.237247,-0.3533543
-37.72688,15.347203
-41.610497,13.822861
7.2907805,-5.633096
20.052305,18.149927
-40.533817,2.0709138
0.33564177,-5.816834
-0.9552463,11.155794
-38.517376,-7.7838516
-41.354794,14.443037
-16.452635,-23.641077
-36.310776,-7.4763656
-43.177532,-2.0574512
-38.502644,16.552862
-41.415928,10.814046
4.3913264,15.694659
59.711597,-7.0482316
2.032219,-26.053144
19.31245,1.3192751
-30.40352,6.8458476
72.20239,3.6872609
2.320976,18.188084
-22.458755,29.125181
-14.76209,5.1417456
-27.41235,-20.965473
50.4528,-13.360192
-41.438007,-8.592345
-6.1009927,-10.657415
-35.709488,-17.907612
-8.047051,22.388702
-19.58854,-22.111197
-0.5138114,14.983994
7.219249,5.236286
-15.742813,7.795538
1.2706358,-17.883291
66.83518,-7.9831243
-24.800364,-16.999098
-20.567698,1.2008946
68.655754,-4.8233514
-44.76537,12.316528
-46.652283,16.672935
7.8389482,16.530827
-2.4333284,1.6385038
-33.26691,10.178583
-17.412249,-9.723544
3.601269,-28.914309
69.87932,-5.1298556
3.1777196,18.68664
-29.171925,-5.759112
7.715547,16.886217
73.815605,-0.42190662
70.809845,5.9586167
-28.989296,-11.410696
68.15198,4.279826
15.277088,-11.285219
-14.00073,-14.312119
0.18743138,26.575586
66.601494,-1.3291208
-5.5250864,23.715654
-29.663368,0.25630534
-2.2609613,-20.857864
-38.275925,-2.651201
10.206078,-4.302645
-26.203382,8.987093
-38.381504,0.9882384
-6.288364,21.762672
-7.3438945,12.838314
1.1072799,32.64033
-17.825207,4.2871943
2.3407562,-0.15218392
8.357163,-18.382954
1.1437668,12.164752
63.725937,8.605414
-37.696556,8.022054
4.2453914,-8.096524
-0.07118153,-17.39667
-34.494484,11.239584
-26.150406,24.076736
-1.4575536,-18.051743
51.536705,-8.288996
-37.722248,10.149239
-27.228079,15.526295
58.931137,-17.958843
-19.108875,6.147269
-2.2128947,24.336983
-0.61556786,-0.23184776
4.079321,33.50334
-18.347622,-11.552741
9.980256,-19.291977
8.267682,22.96877
-3.5851405,20.278847
-25.588066,4.638506
-7.758893,1.9934604
12.009975,-17.197182
-23.559446,21.505585
52.318134,-9.264766
63.000877,2.6303277
-31.326212,4.353419
14.567797,-0.9968666
-36.333424,13.501251
-28.189049,-18.316393
-39.76918,-20.29913
49.75523,-14.000542
-37.291805,1.0968487
14.296133,16.30027
-11.019485,12.321595
-10.114852,28.512321
4.498891,34.194138
3.4163158,8.622189
-41.015568,-11.023612
-28.359308,-0.8945017
-34.11403,8.860308
18.18292,21.600954
1.6001388,21.81534
-35.406307,9.644035
57.816166,4.592348
61.87129,1.139462
2.0409636,8.806063
12.234209,-21.906343
-34.950027,-19.99617
64.99249,6.434499
-19.689869,25.367327
-40.484306,-16.733856
-41.48626,5.670464
-42.834442,14.054937
-37.999844,5.8354216
-15.233066,-8.18233
-17.519312,-0.64990973
47.112503,-14.8168955
57.16479,-14.455894
-21.471424,-24.03781
-26.977709,5.8467464
15.886723,-3.8391998
14.768633,-18.73567
-36.789394,2.2563727
-9.041727,-0.9569627
-35.08398,16.879927
48.124012,-14.892695
-3.444721,3.0383224
14.410188,-20.427794
-28.707766,21.914219
66.84785,3.9861941
7.2103243,20.542141
-46.551243,12.758842
-33.728405,-7.186102
65.09501,-3.0604603
-20.700136,0.0163108
2.4070904,9.852039
49.55938,-6.3343215
-38.66441,-0.12570792
-33.335728,-13.728351
-0.19495209,-20.513739
-5.3810196,-9.474963
-30.617733,1.998907
-21.338236,-3.5668592
63.70451,10.379636
-34.17912,22.311163
-2.6278212,-18.977257
-46.28072,19.57506
61.65038,6.8921437
67.59024,-8.012378
-22.568121,10.443114
-37.74056,-9.641338
4.0416102,15.808909
-38.287716,16.685003
-24.542044,-12.389091
-24.71137,-25.408985
-2.1423001,20.293514
18.81729,6.623323
6.8588996,-0.48262265
64.26273,2.8393626
-32.34514,-17.32236
4.1526837,23.774973
-21.017323,-2.8756075
-1.6888957,29.61962
54.532104,-12.618068
-5.927048,6.4288836
1.2114857,26.108063
-19.965364,1.4204254
7.460788,6.1139617
-33.58689,-5.1538844
13.761236,16.041658
-24.937569,7.1000443
49.61546,-19.63923
63.342384,3.0338511
51.873554,-2.3335745
56.483944,-4.8129907
-8.160437,-3.760262
-32.662506,-9.282471
-3.767914,30.079855
12.786327,19.035982
11.096486,-18.327919
59.319942,-17.52166
-46.297703,-11.545031
-23.030827,-29.968296
-37.78564,12.922702
-1.3395066,-19.908022
-5.817189,-1.1113203
-40.646683,20.958426
0.84972614,-25.026043
-15.705535,20.819862
-16.809423,30.200739
11.789866,-5.396609
-39.188343,-20.376266
-24.452015,6.846758
52.256233,-12.669253
-16.398838,-20.452066
13.262833,13.24263
-3.5794756,1.8155959
-16.881418,-13.789749
69.03552,1.776802
-41.31881,5.974333
-0.4004729,18.390123
4.3451695,22.163012
3.3122857,21.51555
-9.721128,16.896063
-8.030594,14.843102
